Player,Position,Draft_Year,Draft_Round,Draft_Pick,Age_when_Drafted,Team,From,To,NFL_Years_Played,Hall_of_Fame_Inductee,All_Pro_First_Team_Selections,Pro_Bowl_Selections,Years_as_NFL_Starter,CarAV,College_Games,College_Games_Started,Rushing_Attempts,Rushing_Yards,Rushing_Touchdowns,Receptions,Receiving _Yards,Receiving_Touchdowns,College_University
Josh_Jacobs,RB,2019,1,24,21,OAK,2019,2019,1,0,0,0,1,8,13,13,242,1150,7,20,166,0,Alabama
Miles_Sanders,RB,2019,2,53,22,PHI,2019,2019,1,0,0,0,1,9,16,11,179,818,3,50,509,3,Penn_St
Darrell_Henderson,RB,2019,3,70,22,LAR,2019,2019,1,0,0,0,0,1,13,0,39,147,0,4,37,0,Memphis
David_Montgomery,RB,2019,3,73,22,CHI,2019,2019,1,0,0,0,1,5,16,8,242,889,6,25,185,1,Iowa_St
Devin_Singletary,RB,2019,3,74,22,BUF,2019,2019,1,0,0,0,1,6,12,8,151,775,2,29,194,2,Florida_Atlantic
Damien_Harris,RB,2019,3,87,22,NWE,2019,2019,1,0,0,0,0,0,2,0,4,12,0,0,0,0,Alabama
Alexander_Mattison,RB,2019,3,102,21,MIN,2019,2019,1,0,0,0,0,4,13,0,100,462,1,10,82,0,Boise_St
Bryce_Love,RB,2019,4,112,22,WAS,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stanford
Justice_Hill,RB,2019,4,113,21,BAL,2019,2019,1,0,0,0,0,3,16,0,58,225,2,8,70,0,Oklahoma_St
Benny_Snell,RB,2019,4,122,21,PIT,2019,2019,1,0,0,0,0,3,13,2,108,426,2,3,23,0,Kentucky
Tony_Pollard,RB,2019,4,128,22,DAL,2019,2019,1,0,0,0,0,4,15,0,86,455,2,15,107,1,Memphis
Ryquell_Armstead,RB,2019,5,140,22,JAX,2019,2019,1,0,0,0,0,2,16,1,35,108,0,14,144,2,Temple
Qadree_Ollison,RB,2019,5,152,22,ATL,2019,2019,1,0,0,0,0,0,8,0,22,50,4,1,7,0,Pittsburgh
Jordan_Scarlett,RB,2019,5,154,23,CAR,2019,2019,1,0,0,0,0,0,9,0,4,9,0,0,0,0,Florida
Trayveon_Williams,RB,2019,6,182,21,CIN,2019,2019,1,0,0,0,0,0,11,0,0,0,0,0,0,0,Texas_A+M
Ty_Johnson,RB,2019,6,186,21,DET,2019,2019,1,0,0,0,0,2,16,1,63,273,0,24,109,0,Maryland
Dexter_Williams,RB,2019,6,194,22,GNB,2019,2019,1,0,0,0,0,0,4,0,5,11,0,0,0,0,Notre_Dame
Travis_Homer,RB,2019,6,204,21,SEA,2019,2019,1,0,0,0,0,1,16,1,18,114,0,11,56,0,Miami_FL
Rodney_Anderson,RB,2019,6,211,22,CIN,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oklahoma
Darwin_Thompson,RB,2019,6,214,23,KAN,2019,2019,1,0,0,0,0,1,12,0,37,128,1,9,43,0,Utah_St
Mike_Weber,RB,2019,7,218,22,DAL,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio_St
Cullen_Gillaspia,RB,2019,7,220,24,HOU,2019,2019,1,0,0,0,0,0,16,0,0,0,0,0,0,0,Texas_A+M
Kerrith_Whyte,RB,2019,7,222,22,CHI,2019,2019,1,0,0,0,0,1,6,0,24,122,0,1,9,0,Florida_Atlantic
Chandler_Cox,RB,2019,7,233,23,MIA,2019,2019,1,0,0,0,0,0,13,3,0,0,0,0,0,0,Auburn
Myles_Gaskin,RB,2019,7,234,22,MIA,2019,2019,1,0,0,0,0,1,7,0,36,133,1,7,51,0,Washington
Saquon_Barkley,RB,2018,1,2,21,NYG,2018,2019,2,0,0,1,2,23,29,29,478,2310,17,143,1159,6,Penn_St
Rashaad_Penny,RB,2018,1,27,22,SEA,2018,2019,2,0,0,0,0,7,24,0,150,789,5,17,158,1,San_Diego_St
Sony_Michel,RB,2018,1,31,23,NWE,2018,2019,2,0,0,0,2,12,29,22,456,1843,13,19,144,0,Georgia
Nick_Chubb,RB,2018,2,35,22,CLE,2018,2019,2,0,0,1,2,18,32,25,490,2490,16,56,427,2,Georgia
Ronald_Jones,RB,2018,2,38,21,TAM,2018,2019,2,0,0,0,1,7,25,9,195,768,7,38,342,0,USC
Kerryon_Johnson,RB,2018,2,43,21,DET,2018,2019,2,0,0,0,0,8,18,14,231,1044,6,42,340,2,Auburn
Derrius_Guice,RB,2018,2,59,21,WAS,2019,2019,1,0,0,0,0,2,5,1,42,245,2,7,79,1,LSU
Royce_Freeman,RB,2018,3,71,22,DEN,2018,2019,2,0,0,0,1,8,30,8,262,1017,8,57,328,1,Oregon
Nyheim_Hines,RB,2018,4,104,21,IND,2018,2019,2,0,0,0,0,12,32,6,137,513,4,107,745,2,North_Carolina_St
Mark_Walton,RB,2018,4,112,21,CIN,2018,2019,2,0,0,0,0,3,21,4,67,235,0,20,130,0,Miami_FL
Ito_Smith,RB,2018,4,126,22,ATL,2018,2019,2,0,0,0,0,4,21,0,112,421,5,38,239,0,Southern_Miss
Kalen_Ballage,RB,2018,4,131,22,MIA,2018,2019,2,0,0,0,0,3,24,6,110,326,4,23,119,0,Arizona_St
Chase_Edmonds,RB,2018,4,134,22,ARI,2018,2019,2,0,0,0,0,5,29,2,120,511,6,32,208,1,Fordham
Jordan_Wilkins,RB,2018,5,169,24,IND,2018,2019,2,0,0,0,0,5,30,4,111,643,3,23,128,0,Mississippi
John_Kelly,RB,2018,6,176,21,LAR,2018,2019,2,0,0,0,0,1,8,0,30,83,0,2,27,0,Tennessee
Boston_Scott,RB,2018,6,201,23,NOR,2018,2019,2,0,0,0,0,3,13,2,61,245,5,24,204,0,Louisiana_Tech
Trenton_Cannon,RB,2018,6,204,24,NYJ,2018,2019,2,0,0,0,0,2,20,0,38,113,1,17,144,0,Virginia_St
David_Williams,RB,2018,7,226,24,DEN,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas
Bo_Scarbrough,RB,2018,7,236,21,DAL,2019,2019,1,0,0,0,0,2,6,5,89,377,1,1,5,0,Alabama
Nick_Bawden,RB,2018,7,237,22,DET,2019,2019,1,0,0,0,0,0,10,2,0,0,0,4,17,0,San_Diego_St
Justin_Jackson,RB,2018,7,251,23,LAC,2018,2019,2,0,0,0,0,4,20,1,79,406,2,24,157,0,Northwestern
Leonard_Fournette,RB,2017,1,4,22,JAX,2017,2019,3,0,0,0,3,20,36,36,666,2631,17,134,1009,2,LSU
Christian_McCaffrey,RB,2017,1,8,21,CAR,2017,2019,3,0,1,1,3,38,48,42,623,2920,24,303,2523,15,Stanford
Dalvin_Cook,RB,2017,2,41,22,MIN,2017,2019,3,0,0,1,2,23,29,28,457,2104,17,104,914,2,Florida_St
Joe_Mixon,RB,2017,2,48,21,CIN,2017,2019,3,0,0,0,2,24,44,35,693,2931,17,108,870,4,Oklahoma
Alvin_Kamara,RB,2017,3,67,22,NOR,2017,2019,3,0,0,3,2,41,45,25,485,2408,27,243,2068,10,Tennessee
Kareem_Hunt,RB,2017,3,86,22,KAN,2017,2019,3,0,0,1,2,28,35,30,496,2330,17,116,1118,11,Toledo
D'Onta_Foreman,RB,2017,3,89,21,HOU,2017,2018,2,0,0,0,0,3,11,1,85,326,2,8,111,1,Texas
James_Conner,RB,2017,3,105,22,PIT,2017,2019,3,0,0,1,2,16,37,22,363,1581,16,89,748,4,Pittsburgh
Samaje_Perine,RB,2017,4,114,21,WAS,2017,2019,3,0,0,0,1,5,28,8,188,651,1,25,187,1,Oklahoma
Tarik_Cohen,RB,2017,4,119,22,CHI,2017,2019,3,0,1,1,1,20,48,22,250,1027,5,203,1534,9,North_Carolina_A+T
